name,address,google_phone,reservation_phone,email,website,rating,reviews,type
Le Ju',"16 Rue des Archives, 75004 Paris, France",,+33 9 99 99 99 99,nom@domain.com,https://le-ju-paris.fr/,4.8,13094,restaurant
Bouillon République,"39 Bd du Temple, 75003 Paris, France",,+33 7 81 51 83 10,reservation@bouillonlesite.com,https://bouillonlesite.com/bouillon-republique,4.7,34284,restaurant
Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",,+33 8 33 33 33 33,contact@privateaser.com,https://www.privateaser.com/lieu/44897-le-marais-restaurant,4.5,1856,restaurant
Pink Mamma,"20bis Rue de Douai, 75009 Paris, France",,+33 6 38 65 50 72,contact@bigmammagroup.com,https://www.bigmammagroup.com/italian-restaurants/pink-mamma?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,4.7,45487,restaurant
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",,+33 1 45 08 02 03,restauchouchou@gmail.com,http://www.restaurantchouchouparis.fr/,4.7,21374,restaurant
Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",,,,http://letoutparis.fr/?y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.6,1962,restaurant
Sacrée Fleur Montmartre,"50 Rue de Clignancourt, 75018 Paris, France",,+33 1 42 51 66 18,restosacreefleur@gmail.com,http://www.sacreefleur.fr/,4.8,3434,restaurant
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",,,,,4.9,1119,restaurant
La Maison du Boulevard,"40 Bd de l'Hôpital, 75005 Paris, France",,,,https://www.instagram.com/lamaisonduboulevard_paris/,4.7,1960,restaurant
Le Train Bleu,"Gare de Lyon, Pl. Louis Armand hall 1, 75012 Paris, France",,+33 1 43 43 09 06,reservation.trainbleu@ssp.fr,https://www.le-train-bleu.com/fr/,4.4,16872,restaurant
